n_detections,mean_x,mean_y,std_x,std_y,bbox_area_norm_mean,bbox_area_norm_std,avg_pairwise_distance,min_pairwise_distance,max_pairwise_distance,top_lane_count,mid_lane_count,bot_lane_count,top_jungle_count,bot_jungle_count,river_count,baron_zone_count,dragon_zone_count,blue_base_count,red_base_count,lane_count_top,lane_count_mid,lane_count_bot,jungle_count,base_count,blue_side_count,red_side_count,center_count,lane_entropy,spread_score,grouping_score,image_id,image_width,image_height,label_file,cluster_label
1,0.082908,0.919643,0.0,0.0,0.006455700906,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00066,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00066.txt,1
1,0.084184,0.917092,0.0,0.0,0.006455700906,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00067,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00067.txt,1
1,0.08801,0.915179,0.0,0.0,0.006351537198,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00068,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00068.txt,1
1,0.08801,0.912628,0.0,0.0,0.0065597829809999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00069,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00069.txt,1
1,0.092474,0.913265,0.0,0.0,0.0069795270719999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00070,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00070.txt,1
1,0.095663,0.909439,0.0,0.0,0.006253962724,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00071,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00071.txt,1
1,0.100765,0.908163,0.0,0.0,0.00685917727,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00072,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00072.txt,1
1,0.10523,0.90625,0.0,0.0,0.0068737364639999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00073,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00073.txt,1
1,0.107781,0.905612,0.0,0.0,0.006351537198,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00074,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00074.txt,1
1,0.110332,0.90051,0.0,0.0,0.00674850341,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00075,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00075.txt,1
1,0.114158,0.899235,0.0,0.0,0.0069795270719999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00076,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00076.txt,1
1,0.11926,0.896684,0.0,0.0,0.006969764395,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00077,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00077.txt,1
1,0.123087,0.89477,0.0,0.0,0.0066492229539999,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,1.0,coloured_noised_diana_1_00078,360,360,G:\LOL ML project\mid_dataset\labels\coloured_noised_diana_1_00078.txt,1
